title,region__title,country_title
Ленинское (Еврейская автономная область),Еврейская автономная область,Россия
Ленинское (Ленинградская область),Ленинградская область,Россия
Ленинское (Новосибирская область),Новосибирская область,Россия
Ленск,Республика Саха,Россия
Леонтьево (Мантуровский район),Костромская область,Россия
"Лепша-Новый (Архангельская, Няндомский)",Архангельская область,Россия
Лермонтов,Ставропольский край,Россия
Лермонтовка,Хабаровский край,Россия
Лесколово,Ленинградская область,Россия
Лесная (Новгородский район),Новгородская область,Россия
Лесная Поляна (Новосибирская область),Новосибирская область,Россия
Лесниково,Курганская область,Россия
Лесное,Тверская область,Россия
Лесной,Свердловская область,Россия
Лесной городок,Московская область,Россия
Лесные Поляны (Пушкинский район),Московская область,Россия
Лесогорский,Ленинградская область,Россия
Лесозаводск,Приморский край,Россия
"Лесопильное (Хабаровский кр, Бикинский р",Хабаровский край,Россия
Лесосибирск,Красноярский край,Россия
"Летний Отдых (Московская, Одинцовский р)",Московская область,Россия
Летняя Золотица (Архангельская область),Архангельская область,Россия
Летняя Ставка,Ставропольский край,Россия
Лечинкай (Кабардино-Балкария),Кабардино-Балкарская Республика,Россия
"Лешково (Московская обл, Истринский р)",Московская область,Россия
"Лешково (Московская, Сергиево-Посадский)",Московская область,Россия
Лешуконское,Архангельская область,Россия
Ливадия (Республика Крым),Республика Крым,Россия
Ливенка (Белгородская область),Белгородская область,Россия
Ливны,Орловская область,Россия
Лидога,Хабаровский край,Россия
Ликино-Дулево,Московская область,Россия
Лиман,Астраханская область,Россия
Линда,Нижегородская область,Россия
Линево,Новосибирская область,Россия
Линейное (Астраханская область),Астраханская область,Россия
Липин Бор,Вологодская область,Россия
"Липицы (Московская обл., Серпуховский р)",Московская область,Россия
Липки,Тульская область,Россия
"Липово (Калиниградская об, Гусевский р.)",Калининградская область,Россия
Липовцы,Приморский край,Россия
Лисичанск,Луганская Народная Республика,Россия
Лиски,Воронежская область,Россия
Листвянка (Рязанская область),Рязанская область,Россия
Листвянский,Новосибирская область,Россия
"Листопадовка (Воронежская, Грибановский)",Воронежская область,Россия
Литвиново (Московская об. Солнечногорск),Московская область,Россия
"Литовко (Хабаровский край, Амурский р.)",Хабаровский край,Россия
Лихославль,Тверская область,Россия
"Лобаново (Московская обл., Истринский р)",Московская область,Россия
Лобаново (Пермский край),Пермский край,Россия
"Лобва (Свердловская об, Новолялинский р)",Свердловская область,Россия
Лобня,Московская область,Россия
Логовский (Волгоградская об Калачевский),Вологодская область,Россия
Лодейное Поле,Ленинградская область,Россия
"Лозовское (Новосибирская, Баганский р)",Новосибирская область,Россия
Лойно,Кировская область,Россия
Локня,Псковская область,Россия
Локомотивный,Челябинская область,Россия
Локоть,Брянская область,Россия
Ломоносов,Ленинградская область,Россия
Лонгъюган,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Лондоко-Завод (Еврейская АО),Еврейская автономная область,Россия
Лопатино (Ленинский район),Московская область,Россия
Лопатино (Пензенская обл.),Пензенская область,Россия
Лопатино (Самарская обл.),Самарская область,Россия
"Лопухинка (Ленинградская, Ломоносовский)",Ленинградская область,Россия
"Лопча (Амурская обл., Тындинский р.)",Амурская область,Россия
Лосино-Петровский,Московская область,Россия
Лососина (Хабаровский край),Хабаровский край,Россия
Лотошино,Московская область,Россия
Лоухи,Республика Карелия,Россия
Луга,Ленинградская область,Россия
Луганск,Луганская Народная Республика,Россия
Луговое (Тюменская область),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Лужба (Кемеровская область),Кемеровская область,Россия
Луза,Кировская область,Россия
Лузино,Омская область,Россия
Лукаши (Ленинградская область),Ленинградская область,Россия
Лукино,Нижегородская область,Россия
Луковская,Республика Северная Осетия - Алания,Россия
Лукоянов,Нижегородская область,Россия
Луначарский (Самарская область),Самарская область,Россия
Лунино,Пензенская область,Россия
"Лупполово (Ленинградская, Всеволжский р)",Ленинградская область,Россия
Лутугино (Луганская область),Луганская Народная Республика,Россия
Луховицы,Московская область,Россия
Лучегорск,Приморский край,Россия
Лысково,Нижегородская область,Россия
Лысые горы,Саратовская область,Россия
Лысьва,Пермский край,Россия
Лыткарино,Московская область,Россия
Лыткино (городской округ Солнечногорск),Московская область,Россия
Лычково,Новгородская область,Россия
Львово (Троицкий АО),Московская область,Россия
Львовский,Московская область,Россия
Львовское,Краснодарский край,Россия
Льгов,Курская область,Россия
Льгово (Рязанская область),Рязанская область,Россия
Льниха (Новосибирская область),Новосибирская область,Россия
Любань,Ленинградская область,Россия
Люберцы,Московская область,Россия
Любим,Ярославская область,Россия
Любимовка,Московская область,Россия
Любимовка (Оренбургская область),Оренбургская область,Россия
Любинский,Омская область,Россия
Любучаны,Московская область,Россия
Людиново,Калужская область,Россия
Лютово (Ярославская область),Ярославская область,Россия
Лямбирь,Республика Мордовия,Россия
Лянтор,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Магарамкент,Республика Дагестан,Россия
Магдагачи,Амурская область,Россия
Магистральный (Иркутская область),Иркутская область,Россия
Магнитка (Челябинская область),Челябинская область,Россия
Магнитогорск,Челябинская область,Россия
Маджалис,Республика Дагестан,Россия
Мазурово (Кемеровская обл.),Кемеровская область,Россия
Майгаза (Республика Башкортостан),Республика Башкортостан,Россия
Майма,Республика Алтай,Россия
Майна,Ульяновская область,Россия
Майрамадаг (Северная Осетия-Алания),Республика Северная Осетия - Алания,Россия
Майский,Кабардино-Балкарская Республика,Россия
Майский (Пермский край),Пермский край,Россия
Майское,Республика Северная Осетия - Алания,Россия
Майя,Республика Саха,Россия
Макаров,Сахалинская область,Россия
"Макаровка (Татарстан, Высокогорский р.)",Республика Татарстан,Россия
Макарье,Кировская область,Россия
Макарьев,Костромская область,Россия
Макеевка,Донецкая Народная Республика,Россия
Маккавеево,Забайкальский край,Россия
Маклино (Калужская область),Калужская область,Россия
Максатиха,Тверская область,Россия
Макушино,Курганская область,Россия
"Маланьино (Калужская обл., Боровской р.)",Калужская область,Россия
Малаховка,Московская область,Россия
Малая Вишера,Новгородская область,Россия
Малая Дубна (Московская область),Московская область,Россия
Малая Куликовка (Орловская область),Орловская область,Россия
Малая Пурга,Удмуртская Республика,Россия
Малая Ремизенка (Оренбургская область),Оренбургская область,Россия
Малгобек,Республика Ингушетия,Россия
Малета,Забайкальский край,Россия
Малечкино,Вологодская область,Россия
Малинки (Рязанская область),Рязанская область,Россия
Малино,Московская область,Россия
Малиновка,Кемеровская область,Россия
"Малка (Кабардино-Балкария, Зольский р.)",Кабардино-Балкарская Республика,Россия
Малмыж (Нанайский район),Хабаровский край,Россия
Малмыж (Республика Татарстан),Республика Татарстан,Россия
Малоалександровка,Республика Башкортостан,Россия
Малоархангельск,Орловская область,Россия
Малое Верево (Ленинградская область),Ленинградская область,Россия
Малое Исаково (Калининградская область),Калининградская область,Россия
Малое Карлино,Ленинградская область,Россия
Малое Микушкино (Самарская область),Самарская область,Россия
Малокубанский (Краснодавский край),Краснодарский край,Россия
Малокурильское,Сахалинская область,Россия
Малошуйка (Архангельская область),Архангельская область,Россия
Малояз,Республика Башкортостан,Россия
Малоярославец,Калужская область,Россия
Малыгино (Владимирская область),Владимирская область,Россия
"Малые Вяземы (Московская, Одинцовский р)",Московская область,Россия
Малые Дербеты,Республика Калмыкия,Россия
"Малые Кириллы (Смоленская, Рославльский)",Смоленская область,Россия
Малые Колпаны,Ленинградская область,Россия
Малые Савки (Калужская область),Калужская область,Россия
Малый Ашап (Пермский край),Пермский край,Россия
"Малый Бердяуш (Челябинская, Саткинский)",Челябинская область,Россия
Малый Зайкин (Оренбургская область),Оренбургская область,Россия
Малый Ирбей (Красноярский край),Красноярский край,Россия
Малый Седяк (Республика Башкортостан),Республика Башкортостан,Россия
Малышева,Свердловская область,Россия
"Малышево (Московская обл., Раменский р)",Московская область,Россия
Малышенка (Тюменская область),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Мама,Иркутская область,Россия
Мамадыш,Республика Татарстан,Россия
Мамедкала,Республика Дагестан,Россия
Мамоново (Калининградская область),Калининградская область,Россия
Мамоново (Ленинский район),Московская область,Россия
Мамоново (Новосибирская область),Новосибирская область,Россия
Мамоново (Одинцовский район),Московская область,Россия
Мамонтово,Алтайский край,Россия
Манаскент,Республика Дагестан,Россия
"Мангут (Омская обл., Называевский район)",Омская область,Россия
Манжерок (Республика Алтай),Республика Алтай,Россия
Мантурово (Костромская обл.),Костромская область,Россия
Мантурово (Курская обл.),Курская область,Россия
"Манушкино (Ленинградская, Всеволожский)",Ленинградская область,Россия
Манушкино (Московская область),Московская область,Россия
Манычская (Ростовская область),Ростовская область,Россия
Маньково-Калитвенское (Чертковский р.),Ростовская область,Россия
Манюхино (Мытищи),Московская область,Россия
Маргаритово (Ростовская область),Ростовская область,Россия
Маргуша (Нижегородская область),Нижегородская область,Россия
Марёво,Новгородская область,Россия
Мари-Турек,Республика Марий Эл,Россия
Мариинск,Кемеровская область,Россия
Мариинский Посад,Чувашская Республика,Россия
Мариуполь,Донецкая Народная Республика,Россия
Маркова (Иркутская область),Иркутская область,Россия
Марковка (Луганская область),Луганская Народная Республика,Россия
Маркс,Саратовская область,Россия
Мармылево (Республика Башкортостан),Республика Башкортостан,Россия
Мартьяново (Пермский район),Пермский край,Россия
"Марусино (Московская обл., Люберцы)",Московская область,Россия
Марусино (Новосибирская область),Новосибирская область,Россия
Марушкино (Московская обл.. Внуково),Московская область,Россия
Марфино,Московская область,Россия
Маршанское (Новосибирская область),Новосибирская область,Россия
Марьевка (Оренбургская область),Оренбургская область,Россия
Марьяновка,Омская область,Россия
Марьянская,Краснодарский край,Россия
Маслянино,Новосибирская область,Россия
Матвеев Курган (Ростовская область),Ростовская область,Россия
Матвеев-Курган,Ростовская область,Россия
Матвеевка,Оренбургская область,Россия
"Матвейково (Московская, Одинцовский р-н)",Московская область,Россия
Матрено-Гезово (Белгородская область),Белгородская область,Россия
Махалино (Пензенская область),Пензенская область,Россия
Маюрово (Новосибирская область),Новосибирская область,Россия
"Маяк (Хабаровский край, Нанайский район)",Хабаровский край,Россия
"Маячное (Астраханская обл., Икрянинский)",Астраханская область,Россия
Мга,Ленинградская область,Россия
Мглин,Брянская область,Россия
Мегет,Иркутская область,Россия
Мегион,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
"Мегрега (Карелия, Олонецкий район)",Республика Карелия,Россия
Медведево,Республика Марий Эл,Россия
Медведка (Оренбургская область),Оренбургская область,Россия
Медведовская,Краснодарский край,Россия
Медвежьегорск,Республика Карелия,Россия
Медвенка,Курская область,Россия
Медногорск,Оренбургская область,Россия
Медногорский,Карачаево-Черкесская Республика,Россия
Медное,Тверская область,Россия
Медынь,Калужская область,Россия
Межадор,Республика Коми,Россия
Межгорье,Республика Башкортостан,Россия
Междуреченск,Кемеровская область,Россия
Междуреченский,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
"Межовка (Новосибирская, Кыштовский р)",Новосибирская область,Россия
Межозёрный (Челябинская область),Челябинская область,Россия
"Мезенское (Свердловская об, Заречный р.)",Свердловская область,Россия
Мезень,Архангельская область,Россия
Меленки,Владимирская область,Россия
Мелеуз,Республика Башкортостан,Россия
Мелехово (Владимирская область),Владимирская область,Россия
Мелитополь,Запорожская область,Россия
Меловое (Луганская область),Луганская Народная Республика,Россия
Мельниково,Томская область,Россия
Менделеево,Московская область,Россия
Менделеевск,Республика Татарстан,Россия
Мензелинск,Республика Татарстан,Россия
Месягутово,Республика Башкортостан,Россия
Металлострой,Ленинградская область,Россия
Металлплощадка,Кемеровская область,Россия
Металлургов (Кемеровская область),Кемеровская область,Россия
"Мехбаза (Ленинградская об, Тихвинский р)",Ленинградская область,Россия
Мечётинская (Ростовская область),Ростовская область,Россия
Мечниково (Красногорский район),Московская область,Россия
Мещовск,Калужская область,Россия
Миасс,Челябинская область,Россия
Миасское (село),Челябинская область,Россия
"Мизиново (Московская обл., Щелковский р)",Московская область,Россия
Мизур (Северная Осетия - Алания),Республика Северная Осетия - Алания,Россия
Микунь,Республика Коми,Россия
Миллерово,Ростовская область,Россия
Милославское,Рязанская область,Россия
Мильково,Камчатский край,Россия
"Милюково (деревня, Москва)",Московская область,Россия
Милютинское сельское поселение,Ростовская область,Россия
Мингрельская,Краснодарский край,Россия
Миндерево (Удмуртская Республика),Удмуртская Республика,Россия
Минеральные Воды,Ставропольский край,Россия
Минино (Емельяновский район),Красноярский край,Россия
Минусинск,Красноярский край,Россия
Миньяр,Челябинская область,Россия
Мирный (Архангельская область),Архангельская область,Россия
"Мирный (Калужская, Барятинский)",Калужская область,Россия
Мирный (Республика Саха),Республика Саха,Россия
"Мирный (Ростовская обл, Егорлыкский р-н)",Ростовская область,Россия
Мирный (Самарская область),Самарская область,Россия
Мирный (Ульяновская область),Ульяновская область,Россия
Мисайлово (Московская обл.),Московская область,Россия
Михайлов,Рязанская область,Россия
Михайловка (Волгоградская область),Волгоградская область,Россия
Михайловка (Запорожская область),Запорожская область,Россия
Михайловка (Иркутская обл.),Иркутская область,Россия
Михайловка (Приморский край),Приморский край,Россия
Михайловка (Республика Башкортостан),Республика Башкортостан,Россия
Михайловка (Соль-Илецкий район),Оренбургская область,Россия
Михайловка Вторая (Оренбургская область),Оренбургская область,Россия
Михайловск,Ставропольский край,Россия
Михайловская,Краснодарский край,Россия
Михайловский (Чулымский район),Новосибирская область,Россия
Михайловское,Алтайский край,Россия
"Михалково (Московская обл, Красногорск)",Московская область,Россия
Михнево,Московская область,Россия
"Михновка (Смоленская обл, Смоленский р)",Смоленская область,Россия
Мичуринск,Тамбовская область,Россия
Мичуринск (Республика Башкортостан),Республика Башкортостан,Россия
"Мичуринский (Новосибирская, Новосибир.)",Новосибирская область,Россия
Мичуринский (Пензенская область),Пензенская область,Россия
Мишеронский,Московская область,Россия
Мишкино (Курганская область),Курганская область,Россия
Мишкино (Республика Башкортостан),Республика Башкортостан,Россия
Мишкинская (Ростовская область),Ростовская область,Россия
Мишуково (Мурманская область),Мурманская область,Россия
Многовершинный,Хабаровский край,Россия
Могзон,Забайкальский край,Россия
Могойтуй,Забайкальский край,Россия
Могот (Амурская область),Амурская область,Россия
Могоча,Забайкальский край,Россия
Могочино,Томская область,Россия
Можайск,Московская область,Россия
Можга,Удмуртская Республика,Россия
Моздок,Республика Северная Осетия - Алания,Россия
Мозолево-1 (Ленинградская область),Ленинградская область,Россия
"Мокино (Пермский край, Пермский район)",Пермский край,Россия
Мокроус,Саратовская область,Россия
Мокроусово,Курганская область,Россия
Мокшан,Пензенская область,Россия
"Мокшино (Тверская обл., Конаковский р.)",Тверская область,Россия
Молдаванское (Краснодарский край),Краснодарский край,Россия
Молодежное,Ленинградская область,Россия
Молодежный (Оренбургская область),Оренбургская область,Россия
Молоково (Ленинский район),Московская область,Россия
Молочное,Вологодская область,Россия
Молочные Дворы (Тульская область),Тульская область,Россия
Молочный (Мурманская область),Мурманская область,Россия
Молчаново,Томская область,Россия
Монастырище,Приморский край,Россия
Монастырка (Свердловская область),Свердловская область,Россия
Монастырщина,Смоленская область,Россия
Монино,Московская область,Россия
Мончегорск,Мурманская область,Россия
Моргауши,Чувашская Республика,Россия
Мордино (Республика Коми),Республика Коми,Россия
Мордово,Тамбовская область,Россия
Морзох (Кабардино-Балкария),Кабардино-Балкарская Республика,Россия
Морки,Республика Марий Эл,Россия
"Морозовка (Омская обл, Омский район)",Омская область,Россия
Морозово (Новосибирская область),Новосибирская область,Россия
Морозовск,Ростовская область,Россия
Морской Чулек,Ростовская область,Россия
Моршанск,Тамбовская область,Россия
Моряковский Затон,Томская область,Россия
Мосальск,Калужская область,Россия
Москаленки,Омская область,Россия
Московский,Московская область,Россия
Мосрентген,Московская область,Россия
Мостовской,Краснодарский край,Россия
Мотыгино,Красноярский край,Россия
Мохнатый Лог (Новосибирская область),Новосибирская область,Россия
Мошенское,Новгородская область,Россия
Мошково,Новосибирская область,Россия
Мошок (Владимирская область),Владимирская область,Россия
Мраково,Республика Башкортостан,Россия
Мстихино,Калужская область,Россия
"Мугарты (Дагестан, Дербентский район)",Республика Дагестан,Россия
Мугур-Аксы,Республика Тыва,Россия
Муезерский (Республика Карелия),Республика Карелия,Россия
"Мужи (Псковская область, Пыталовский р)",Псковская область,Россия
"Мужи (Ямало-Ненецкий АО, Шурышкарский р)","Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Мулино,Нижегородская область,Россия
Мулловка,Ульяновская область,Россия
Мултаново (Астраханская область),Астраханская область,Россия
Муравленко,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Мураши,Кировская область,Россия
Мурино,Ленинградская область,Россия
Мурмаши,Мурманская область,Россия
Муром,Владимирская область,Россия
Муромский (Владимирская область),Владимирская область,Россия
Муромцево,Омская область,Россия
Мурыгино,Кировская область,Россия
Муслюмово,Республика Татарстан,Россия
Мухен (Хабаровский край),Хабаровский край,Россия
"Мухоршибирь (Бурятия, Мухоршибирский р)",Республика Бурятия,Россия
Муцалаул,Республика Дагестан,Россия
Мценск,Орловская область,Россия
Мыза-Ивановка (Ленинградская область),Ленинградская область,Россия
Мыс Каменный,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Мыс Шмидта,Чукотский автономный округ,Россия
Мыски,Кемеровская область,Россия
Мысхако,Краснодарский край,Россия
Мытищи,Московская область,Россия
Мышкин,Ярославская область,Россия
Мятлево (Калужская область),Калужская область,Россия
Навашино,Нижегородская область,Россия
Навля,Брянская область,Россия
Наволоки,Ивановская область,Россия
"Нагорное (Московская обл., Мытищинский)",Московская область,Россия
"Нагорное (Московская обл., Пушкинский р)",Московская область,Россия
Нагорный,Ярославская область,Россия
Нагорск,Кировская область,Россия
Нагорская (Архангельская область),Архангельская область,Россия
Надвоицы,Республика Карелия,Россия
Надежда (Ставропольский край),Ставропольский край,Россия
Надтеречное,Чеченская Республика,Россия
Надым,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Назарово,Красноярский край,Россия
Назарьево (Одинцовский район),Московская область,Россия
Назия,Ленинградская область,Россия
Назрань,Республика Ингушетия,Россия
Называевск,Омская область,Россия
Найдёновка (Ставропольский край),Ставропольский край,Россия
"Найнтахн (Калмыкия, Целинный район)",Республика Калмыкия,Россия
Нанхчул (Республика Хакасия),Республика Хакасия,Россия
Нариманов,Астраханская область,Россия
Наро-Фоминск,Московская область,Россия
"Наровчат (Пензенская об, Наровчатский р)",Пензенская область,Россия
Наровчатка,Челябинская область,Россия
"Нарт (Север. Осетия-Алания, Ардонский р)",Республика Северная Осетия - Алания,Россия
Нартан (Кабардино-Балкария),Кабардино-Балкарская Республика,Россия
Нарткала,Кабардино-Балкарская Республика,Россия
Нарынка (Московская область),Московская область,Россия
Нарышкино,Орловская область,Россия
Нарьян-Мар,Архангельская область,Россия
Натальино (Амурская область),Амурская область,Россия
Натухаевская,Краснодарский край,Россия
"Наушки (Бурятия, Кяхтинский р.)",Республика Бурятия,Россия
Нахабино,Московская область,Россия
Находка,Приморский край,Россия
Началово (Астраханская обл.),Астраханская область,Россия
Небуг (Краснодарский край),Краснодарский край,Россия
Невежкино (Оренбургская область),Оренбургская область,Россия
Невель,Псковская область,Россия
Невельск,Сахалинская область,Россия
Невер (Амурская область),Амурская область,Россия
Невинномысск,Ставропольский край,Россия
"Неволино (Пермский край, Кунгурский р-н)",Пермский край,Россия
Невское (Приморский край),Приморский край,Россия
Невьянск,Свердловская область,Россия
Нежинка (Оренбургская область),Оренбургская область,Россия
"Неклюдово (Тверская обл., Кимрский р-н)",Тверская область,Россия
Некрасовка (Московская область),Московская область,Россия
Некрасовка (Хабаровский край),Хабаровский край,Россия
Некрасовская,Краснодарский край,Россия
Некрасовский,Московская область,Россия
Некрасовское,Ярославская область,Россия
Нелидово,Тверская область,Россия
Неман,Калининградская область,Россия
Немчиновка,Московская область,Россия
"Непецино (Московская об, Коломенский р.)",Московская область,Россия
Нерехта,Костромская область,Россия
Нерль (Ивановская область),Ивановская область,Россия
Нерчинск,Забайкальский край,Россия
Нерчинский Завод,Забайкальский край,Россия
Нерюнгри,Республика Саха,Россия
Нестеров,Калининградская область,Россия
Нестерово (Рузский район),Московская область,Россия
Нестеровская,Республика Ингушетия,Россия
Нефтегорск,Самарская область,Россия
Нефтекамск,Республика Башкортостан,Россия
Нефтекумск,Ставропольский край,Россия
Нефтеюганск,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Нехаевская,Волгоградская область,Россия
Нея,Костромская область,Россия
Нивенское (Калининградская область),Калининградская область,Россия
Нивский (Мурманская область),Мурманская область,Россия
Нижегородец (Нижегородская область),Нижегородская область,Россия
Нижнеангарск,Республика Бурятия,Россия
Нижнебаканская,Краснодарский край,Россия
Нижневартовск,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Нижнегорский (Республика Крым),Республика Крым,Россия
Нижнедевицк,Воронежская область,Россия
Нижнее Казанище,Республика Дагестан,Россия
Нижнее Хорошово (Московская область),Московская область,Россия
Нижнезаитово (Республика Башкортостан),Республика Башкортостан,Россия
Нижнекамск,Республика Татарстан,Россия
Нижнекристалка (Оренбургская область),Оренбургская область,Россия
Нижнесакмарский (Оренбургская область),Оренбургская область,Россия
"Нижнесортымский (Югра, Сургутский район)","Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Нижнетемерницкий (Ростовская обл.),Ростовская область,Россия
Нижнеудинск,Иркутская область,Россия
Нижнеутяшево (Республика Башкортостан),Республика Башкортостан,Россия
Нижнечеремошное (Новосибирская область),Новосибирская область,Россия
Нижнеянск,Республика Саха,Россия
Нижние Бишинды (Республика Башкортостан),Республика Башкортостан,Россия
Нижние Бузули (Амурская область),Амурская область,Россия
Нижние Вязовые,Республика Татарстан,Россия
Нижние Каргалы (Республика Башкортостан),Республика Башкортостан,Россия
Нижние Кузлы (Оренбургская область),Оренбургская область,Россия
Нижние Муллы (Пермский край),Пермский край,Россия
Нижние Серги,Свердловская область,Россия
Нижний Баскунчак (Астраханская область),Астраханская область,Россия
Нижний Бестях,Республика Саха,Россия
Нижний Гумбет (Оренбургская область),Оренбургская область,Россия
Нижний Дженгутай,Республика Дагестан,Россия
