profession,company,vac_description,experience,region,country,company_staff_count,salary,education
Менеджер по продажам It-продукта (без поиска клиентов),"ЭЛКОД, группа компаний",,1,Московская область,Россия,,132000.0,
Главный специалист (продвижение IT-решений),РОСКОСМОС,"['предприятие', '1С', '1С:Предприятие', 'знание']",6,Московская область,Россия,,160000.0,
Менеджер по IT продажам,Roistat,,0,Московская область,Россия,,120000.0,
Стажер / бизнес-аналитик,IT Vectura,"['знание', 'Ответственность']",0,Московская область,Россия,,50000.0,
Менеджер по продажам IT-продуктов,Первый Бит,,0,Московская область,Россия,,,
"Project Manager (web, it)",Grand Line,,3,Московская область,Россия,,,
Ведущий бухгалтер (экспертиза в ВЭД / валютных операциях),IT Devision,"['уверенное владение', '1С', '1С 8.3']",3,Московская область,Россия,,,
Хостес/ Администратор в IT компанию,ООО Дэстэн Партнерс,['без опыта'],0,Московская область,Россия,,80000.0,
Администратор салона,Shape IT,"['знание', 'Коммуникабельность']",1,Московская область,Россия,,87500.0,
Менеджер по работе с вендорами и IT-закупкам,АО Центр Биометрических Технологий,,3,Московская область,Россия,,,
IT Project/Delivery Manager,Ригла,,3,Московская область,Россия,,,
IT Project Manager (Digital Signage),Сервис Плюс,,1,Московская область,Россия,,,
Ведущий системный администратор,BetBoom.IT,"['Windows Server', 'Linux']",3,Московская область,Россия,,,
Монтажник связи - кабельщик,VOKS-IT,[],1,Московская область,Россия,,100000.0,
Преподаватель программирования и робототехники в сеть IT школ,ООО Школа информационных технологий Кодер Лаб,['3d'],1,,,,,
DevOps engineer (Управление доступом),Сбер. IT,"['Kubernetes', 'Docker', 'OpenShift', 'DevOps', 'инженер']",3,Московская область,Россия,,,
Data Scientist / LLM Engineer (middle),Сбер. IT,"['llm', 'ds', 'NLP']",3,Московская область,Россия,,,
АХО-инженер/помощник системного администратора в IT,ООО Иннэра,,1,Московская область,Россия,,70000.0,
QA Lead,Сбер. IT,"['lead', 'Python', 'Java', 'QA']",3,Московская область,Россия,,,
Заместитель IT-директора (Head of 1C Development / Automation),ООО ЛОМБАРДМОСКРЕДИТ,"['типовые конфигурации', '1С', 'Конфигурации']",3,Московская область,Россия,,,
Младший юрист в IT-компанию,ПроКонтекст,"['знание', 'Стрессоустойчивость', 'внимательность', 'Исполнительность', 'Ответственность', 'Внимательность к деталям']",1,Московская область,Россия,,,
Системный администратор,Сбер. IT,"['методологии', 'понимание', 'Java', 'DevOps']",3,Московская область,Россия,,,
Руководитель эксплуатации IT проектов,АО Алиасофт,,3,Московская область,Россия,,,
Менеджер по продажам (IT)/Sales manager,ООО Айтикью Груп,,1,Московская область,Россия,,,
Директор по работе с ключевыми клиентами IT,ООО Сервер Молл,,3,Московская область,Россия,,1250000.0,
Менеджер IT-проектов внедрения в Контур.Диадок Логистика,Контур,,3,Московская область,Россия,менее 50,200000.0,
Продавец-консультант в салон связи (м. Тимирязевская),"ПАО МегаФон, IT",,0,Московская область,Россия,,,
"Product Owner (CPO) - IT, Маркетплейс",Мебельная компания ZETTA,['cpo'],6,Московская область,Россия,,,
Системный аналитик,Сбер. IT,,3,Московская область,Россия,,,
Специалист по интеграции CRM и телефонии/Старший IT-специалист,REMONT.IO,"['VoIP', 'API', 'AmoCRM', 'вебхуки']",3,Московская область,Россия,,,
IT Operations Engineer (System administrator),Островок.Ostrovok!Tech,"['Ubuntu Server', 'Ubuntu', 'Linux']",1,Московская область,Россия,,,
Менеджер по продажам IT,АО Спарго Технологии,['Ответственность'],0,Московская область,Россия,,,
IT Сорсер / IT-ресечер,IT SCOUT - Business & Operations,"['LinkedIn', 'кейсы', 'данных', 'знание']",1,Московская область,Россия,,,
Начинающий специалист в IT-компанию,ООО Дэстэн Партнерс,"['внимательность', 'Google', 'Внимательность к деталям', 'Пользователь ПК']",0,Московская область,Россия,,95000.0,
DevOps инженер,Сбер. IT,"['Actions', 'Engineering', 'CD', 'SRE', 'CI/CD', 'GitHub Actions', 'Gitlab CI', 'platform', 'GitHub', 'DevOps', 'CI', 'GitLab']",3,Московская область,Россия,,,
"Управляющий рестораном ""Steak it Easy""",VASILCHUKI Restaurant Group,,1,Московская область,Россия,,230000.0,
QA-инженер,Сбер. IT,"['знание', 'Методологии тестирования', 'Backend', 'Python', 'Web', 'опыт тестирования', 'методологии', 'Frontend']",1,Московская область,Россия,,,
Менеджер по продажам (IT),TKV Group,,1,Московская область,Россия,,,
Менеджер по продажам IT-продуктов,Группа Компаний Бико,,0,Московская область,Россия,,100000.0,
Специалист технической поддержки (IT),ООО Такском,['Коммуникабельность'],0,Московская область,Россия,,50000.0,
Middle QA-инженер (Платформа коммуникаций),Сбер. IT,"['Web', 'опыт тестирования']",3,Московская область,Россия,,,
Solution sales manager (IT/ИБ),WMX,,1,Московская область,Россия,,,
Руководитель клиентского сервиса Saas IT,Альфа Хантер,,3,Московская область,Россия,,220000.0,
Системный администратор Linux / MLOps инженер,Сбер. IT,"['Linux', 'знание', 'Python', 'Bash', 'понимание']",3,Московская область,Россия,,,
"Менеджер по работе с клиентами(B2B, IT / ПО)",ООО Городская Реклама,,0,Московская область,Россия,,120000.0,
Миддл инженер по сопровождению,Сбер. IT,"['Red Hat', 'Kafka', 'архитектуры']",1,Московская область,Россия,,,
Рекрутер/Recruiter (IT & Non-IT),Start Industries,['понимание'],0,Московская область,Россия,,,
"Менеджер по работе с партнерами (ПАМ, IT-оборудование)",ООО РДВ Технолоджи,['другие'],3,Московская область,Россия,,,
Senior TypeScript Developer,Сбер. IT,,3,Московская область,Россия,,,
Менеджер по работе с действующими клиентами (IT / HoReCa),Опен Сервис,,1,Московская область,Россия,,180000.0,
Lead OPS,Сбер. IT,,6,Московская область,Россия,,,
"Менеджер по первичным продажам (IT, B2B)",Акелон,,1,Московская область,Россия,,,
System Analyst,Сбер. IT,,3,Московская область,Россия,,,
IOS (ТБ),Сбер. IT,"['C', 'Objective-C', 'опыт программирования', 'IOS', 'Swift']",0,Московская область,Россия,,,
Автор курса по робототехнике в IT-колледже Maxitet,MAXIMUM,[],1,Московская область,Россия,,,
QA-инженер,Сбер. IT,"['automation', 'API', 'Backend', 'manual', 'опыт тестирования', 'понимание', 'QA']",3,Московская область,Россия,,,
Data Engineer,Сбер. IT,"['boot', 'Spark', 'Spring', 'Spring Boot', 'Java', 'Kafka']",1,Московская область,Россия,,,
"Менеджер проектов (продажа IT оборудования, СКС, СХД, ПК, сетевое, серверное оборудование)",ООО ТРИГИГА,,6,Московская область,Россия,,200000.0,
Инженер сопровождения,Сбер. IT,"['l2', 'L3']",3,Московская область,Россия,,,
Менеджер B2B продаж (продажа услуг IT рекрутмента на русскоязычном рынке),Star-Staff,,0,Московская область,Россия,,115000.0,
Системный аналитик,Сбер. IT,,6,Московская область,Россия,,,
IT-менеджер,ООО ПРОМОМЕД,"['автоматизация', 'системного']",3,Московская область,Россия,,,
IT специалист,ООО А и Джи Констракшн,,3,Московская область,Россия,,,
Юрист (generalist / IT),ООО «Баланс-Платформа»,[],3,Московская область,Россия,,,
Руководитель отдела продаж IT-продукта для селлеров на маркетплейсах,TONAVI,['b2b'],1,Московская область,Россия,,,
Руководитель проектов IT в сфере digital signage (мультимедиа системы),Сервис Плюс,,1,Московская область,Россия,,,
"Главный менеджер проектов направления «Металлургия и горное дело, IT и Цифровизация»",Норникель,,3,Мурманская область,Россия,,,
Аналитик в команду Static Agreements GM,Сбер. IT,['бизнес'],3,Московская область,Россия,,,
Ассистент в IT,ООО Интеллектуал Групп,,1,Московская область,Россия,,15000.0,
Менеджер по продажам IT-продуктов,ООО ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,,3,Московская область,Россия,,,
Data Engineer / Инженер данных,Winline. IT & TECH,"['данных', 'Перфекционизм']",3,Московская область,Россия,,,
Affiliate-менеджер Hunt со знанием иностранного языка,IT SCOUT - Business & Operations,['знание'],1,Московская область,Россия,,,
Начальник отдела информационных технологий (IT),ООО Глобал Кэпитал Констракшн,,3,Московская область,Россия,,340000.0,
Менеджер по продажам IT (B2B),Roistat,,1,Московская область,Россия,,150000.0,
Менеджер по продажам в IT-компанию,Roistat,,0,Московская область,Россия,,120000.0,
IT рекрутер / менеджер по подбору персонала,TechLinks,,0,Московская область,Россия,,,
Руководитель IT проектов (B2G),БФТ-Холдинг,"['Переговоры', 'Системный подход']",3,Московская область,Россия,,,
Сервисный инженер (IT-продукт Saby),Первый Бит,"['Клиентоориентированность', 'Обучаемость', 'Коммуникабельность']",1,Московская область,Россия,,,
Мобильный IT-инженер (САО/СЗАО),NV GROUP,,1,Московская область,Россия,,,
Начинающий помощник онлайн-поддержки в IT-компанию,ООО Грузвектор,['Грамотная речь'],0,Московская область,Россия,,,
Инженер по автоматизации тестирования/QA automation engineer,Сбер. IT,"['Selenide', 'Selenium', 'Java', 'Web', 'опыт тестирования']",3,Московская область,Россия,,,
Младший менеджер отдела продаж (IT-компания),Первый Бит,,0,Московская область,Россия,,,
Ассистент-администратор в IT школу KIBERone,KiberOne (ИП Зивтинь Мария Олеговна),['Ответственность'],0,Московская область,Россия,,50000.0,
Ассистент-администратор в IT школу KIBERone,KiberOne (ИП Зивтинь Мария Олеговна),['Ответственность'],0,Московская область,Россия,,32500.0,
Старший Кладовщик ТМЦ/Оператор склада ЗИП (It оборудование),NV GROUP,['ТМЦ'],1,Московская область,Россия,,,
Инженер слаботочных систем (IT отдел),ООО Мостоотряд-47,"['уверенное владение', 'знание']",1,,,,,
Менеджер по продажам (B2B),I Like IT,,1,Московская область,Россия,,120000.0,
Тестировщик нейросетей для сервиса доставки еды,Rostic’s IT,['внимательность'],1,Московская область,Россия,,90000.0,
Python Backend Engineer (AI) [МТС Линк],"""МТС"", Работа в IT","['Asyncio', 'FastAPI', 'Backend', 'Python']",3,Московская область,Россия,,,
Младший менеджер по продажам B2B/IT,CloudPayments,"['b2b', 'B2C']",0,Московская область,Россия,,,
Системный аналитик (Геомаркетинг 2.0),Сбер. IT,,3,Московская область,Россия,,,
Senior LLM-Engineer,Сбер. IT,"['rag', 'llama', 'Engineering', 'Python', 'Index', 'Prompt engineering', 'langchain']",3,Московская область,Россия,,,
Юрист (IT Консалтинг),ООО Профит,,3,Московская область,Россия,,175000.0,
Python Developer (Геомаркетинг 2.0),Сбер. IT,,3,Московская область,Россия,,,
Руководитель IT проектов,ICL Services,"['Waterfall', 'Scrum', 'Kanban', 'Agile', 'понимание']",3,Московская область,Россия,,,
Менеджер по работе с маркетплейсами в IT-компанию,ООО Аллсан Интеграция,"['API', 'знание', 'Токены', 'ozon', 'wildberries']",1,Московская область,Россия,,70000.0,
Инженер по сопровождению доменной инфраструктуры,Сбер. IT,"['auth', 'open', 'знание', 'Microsoft', 'Active Directory', 'kerberos', 'архитектуры', 'id', 'LDAP']",1,Московская область,Россия,,,
"Главный инженер по сопровождению ПАК УЦ (""Сервисы"" и безопасность)",Сбер. IT,"['Linux', 'знание', '*nix', 'СУБД', 'nix', 'SQL']",0,Московская область,Россия,,,
Менеджер винно-мясного ресторана «STEAK IT EASY»,VASILCHUKI Restaurant Group,,1,Московская область,Россия,,,
Главный специалист по работе с контрагентами (IT),АО Газпромбанк Лизинг,,1,Московская область,Россия,,,
Главный специалист по непрерывности деятельности (блок IT),Московский Кредитный Банк. Профессионалы,,1,Московская область,Россия,,,
Руководитель направления прикладных исследований в области телеком [ИРТЕЯ],"""МТС"", Работа в IT",,6,Московская область,Россия,,,
Менеджер по продажам IT-продуктов (БИТ.Строительство),Первый Бит,,0,Московская область,Россия,,,
Стажер Дата Аналитик (сервис Заявки Телеком данных),"""МТС"", Работа в IT","['Python', 'SQL']",0,Московская область,Россия,,,
"Стажер Дата аналитик B2C [Big Data, МТС Веб Сервисы]","""МТС"", Работа в IT","['Python', 'написание', 'SQL', 'знание']",0,Московская область,Россия,,,
Менеджер по продажам/ IT Sales Manager,ООО Точка Качества,"['Коммуникативные навыки', 'понимание', 'креативность']",1,Московская область,Россия,,,
"Инженер по сопровождению (""Сервисы"" и безопасность)",Сбер. IT,"['Linux', 'Windows Server', 'Zabbix', 'Grafana']",1,Московская область,Россия,,,
Руководитель IT-проектов (Битрикс24)/Аналитик,Автономная некоммерческая организация Московский центр инновационных технологий в здравоохранении,,3,Московская область,Россия,,,
Администратор IT проектов / Project Administrator (AI),ProBack,,3,Московская область,Россия,,,
"Стажер Дата аналитик Гео [Big Data, МТС Веб Сервисы]","""МТС"", Работа в IT","['SQL', 'знание']",0,Московская область,Россия,,,
Старший Инженер DBA,UZUM TECHNOLOGIES. IT,"['знание', 'архитектура', 'Grafana', 'PostgreSQL', 'индексы', 'Prometheus']",3,Московская область,Россия,,,
Главный специалист по закупкам (в IT-отдел),ООО Газпром Теплоэнерго Московская область,,1,Московская область,Россия,,105000.0,
Инженер по ремонту IT-оборудования (стационарный),ООО Компания ИТЛ,,1,Московская область,Россия,,80000.0,
Специалист по складскому учету IT-оборудования,БЮРО 1440,"['Ответственность', 'внимательность', 'Внимательность к деталям']",1,Московская область,Россия,,,
IT HR менеджер,OfferHero,[],1,Московская область,Россия,,,
Руководитель проекта IT (B2G),БФТ-Холдинг,,3,Московская область,Россия,,,
Менеджер по продажам IT / Менеджер по продажам облачных услуг,Selectel,['b2b'],3,Московская область,Россия,,,
Руководитель IT-эксплуатации,Pedant.ru,,1,Московская область,Россия,,120000.0,
Технический писатель (IT компания),Мегаполис ИТ,,3,Московская область,Россия,,,
IT менеджер (Лидерская программа),Aston,"['Аналитика', 'SQL', 'ДО']",0,Московская область,Россия,,,
Стажер IT-рекрутер,Spice IT,,0,Московская область,Россия,,,
"Системный аналитик (IT, Градостроительство)",ГКУ Инфогород,"['знание', 'XSLT', 'XSD', 'XML', 'понимание']",1,Московская область,Россия,,,
Директор по развитию бизнеса IT в строительной отрасли,IBS,"['бизнес', 'понимание']",3,Московская область,Россия,,,
Менеджер по продажам IT-решений для промышленности и АСУ ТП,ООО ПроЭнерджи,,1,Московская область,Россия,,200000.0,
"Повар гриль в ресторан ""Steak it Easy""",VASILCHUKI Restaurant Group,['знание'],1,Московская область,Россия,,120000.0,
IT Project manager,Marfatech,"['понимание', 'project']",6,Московская область,Россия,,,
Бухгалтер (IT компания),Job Offer,"['знание', 'Контур.Диадок', '1С', 'сбис', 'бухгалтерия', 'Диадок']",1,Московская область,Россия,,,
Эксперт по компенсациям и льготам (C&B) в IT-компанию,АО Международный аэропорт Шереметьево,"['level', 'продвинутый уровень', 'MS Excel']",3,Московская область,Россия,,246000.0,
Project manager (IT),T2. IT и Digital,"['Управление проектами', 'Информационные технологии', 'технологии', 'Менеджмент', 'управление']",3,Московская область,Россия,,,
"Senior QA automation [Беспилотные транспортные коридоры, МТС Веб Сервисы]","""МТС"", Работа в IT",['написание'],3,Московская область,Россия,,,
Руководитель направления по оценке справедливой стоимости кредитов,Сбер. IT,"['экономика', 'финансы']",3,Московская область,Россия,,,
"Middle QA Manual [Оператор рекламных данных, МТС Веб Сервисы]","""МТС"", Работа в IT","['API', 'REST', 'REST API', 'Web', 'опыт тестирования']",3,Московская область,Россия,,,
Менеджер по работе с клиентами в детскую IT-школу KIBERone,ИП Костин Антон Станиславович,,1,Московская область,Россия,,82500.0,
Финансовый директор (IT),Coleman Group,[],3,Московская область,Россия,,,
Главный специалист IT,АО Росатом Сервис,['Коммуникативные навыки'],1,Московская область,Россия,,,
"Стажер менеджер проектов (IT, B2B) / Intern Project Manager",Okkam,"['Microsoft', 'Проактивность', 'Коммуникабельность']",0,Московская область,Россия,,,
Руководитель проектов IT,Медиалогия,['знание'],6,Московская область,Россия,,,
Инженер IT инфраструктуры,"Глобус, Сеть гипермаркетов","['netapp', 'ЦОД', 'данных']",3,Московская область,Россия,,,
Руководитель IT проектов,Группа компаний МЕДСИ,,1,Московская область,Россия,,225000.0,
Senior IT-рекрутер,AlumniHub,[],3,Московская область,Россия,,,
Менеджер по продажам IT (заказная разработка / продукт),ООО Юнитариус,,3,Московская область,Россия,,,
IT-ассистент / Специалист поддержки и тестирования (WMS),HOMMLER OÜ,,1,Московская область,Россия,,70000.0,
"Менеджер по продажам (IT / информационная безопасность, B2B)",Heaad,['понимание'],1,Московская область,Россия,,,
Начальник службы качества / Директор по качеству (ЭКБ),IT Electronics,"['iso', 'ISO 9001', 'знание']",3,Московская область,Россия,,,
"Сетевой инженер [Облачные платформы, МТС Веб Сервисы]","""МТС"", Работа в IT","['знание', 'TCP/IP', 'TCP', 'ip', 'понимание']",3,Московская область,Россия,,,
"Руководитель юридического отдела / Head of Legal (IT, Digital, Маркетинг)",RIS group,,3,Московская область,Россия,,,
"Менеджер по продажам, В2В в IT нише",ИП Дудник Виктор Николаевич,,1,Московская область,Россия,,90000.0,
Администратор проектов (IT),polydev,"['Коммуникативные навыки', 'Google Docs', 'MS Office', 'docs', 'Google', 'office', 'Notion']",0,Московская область,Россия,,,
Системный администратор,BetBoom.IT,"['ЭЦП', 'понимание', 'знание']",1,Московская область,Россия,,,
Enterprise Agile Coach [MWS],"""МТС"", Работа в IT","['project', 'Scrum', 'Agile', 'delivery', 'master']",3,Московская область,Россия,,,
Инженер по внедрению / Presale-инженер / Специалист по информационной безопасности,ITD Group (International IT-Distribution Group),"['Маршрутизация', 'модель', 'понимание', 'OSI']",3,Московская область,Россия,,,
Ведущий финансовый аналитик,БКС IT & Digital,['понимание'],3,Московская область,Россия,,,
Старший IT-специалист,ООО А Спорт,"['Windows Server', 'Linux', 'SSH', 'OpenVPN', 'репликация', 'PostgreSQL', 'UFW', 'Резервное копирование', 'IPSec', 'IPTables']",3,Московская область,Россия,,150000.0,
Руководитель направления грантовой поддержки,"""МТС"", Работа в IT","['понимание', 'знание']",3,Московская область,Россия,,,
Руководитель проектов (IT),АО Р7,,3,Московская область,Россия,,,
Аналитик отдела мониторинга информационной безопасности (SOC),Spice IT,['ОС Windows'],3,Московская область,Россия,,,
Главный менеджер по pre-sale IT-продуктов,ООО ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,"['маркетинг', 'sale']",1,Московская область,Россия,,,
Менеджер проектов IT,ООО Сенсор-Тех,['понимание'],1,Московская область,Россия,,90000.0,
IT-аудитор,Счетная палата Российской Федерации,"['понимание процессов', 'знание', 'архитектуры', 'понимание']",3,Московская область,Россия,,,
Начинающий специалист в IT компанию,ООО Дэстэн Партнерс,"['Пользователь ПК', 'внимательность', 'Внимательность к деталям', 'Fintech']",0,Московская область,Россия,,95000.0,
Senior System Analyst [Bronevik],"""МТС"", Работа в IT","['SRS', 'FSD', 'Понимание жизненного цикла разработки ПО', 'документации', 'ПМИ', 'понимание']",3,Московская область,Россия,,,
Middle IT-рекрутер,Offer Now,,1,Московская область,Россия,,,
"Руководитель направления сетевой инфраструктуры / IT Platform Lead, Network","«Филип Моррис Интернэшнл» в России, IT",,3,Московская область,Россия,,,
Senior devops-инженер,Сбер. IT,"['знание', 'CD', 'CI/CD', 'SQL', 'DevOps', 'CI']",3,Московская область,Россия,,,
Business Development manager (IT Outstaff) / Менеджер по развитию бизнеса (аутстафф),Decart IT-production,[],1,Московская область,Россия,,,
Менеджер продукта (IT),АО НПП Исток им. Шокина,"['бизнес', 'Информационные системы', 'технологии']",3,Московская область,Россия,,,
Middle IT PM в команду Аналитики исходящего потока,RWB (Wildberries & Russ),['BPMN'],3,Московская область,Россия,,,
Преподаватель программирования в IT-школу,ООО Инглиш Лайт,,1,Московская область,Россия,,,
Секретарь Генерального директора,IT Devision,"['бизнес', 'ДО']",1,Московская область,Россия,,,
Директолог в IT компанию,ООО Дэстэн Партнерс,,1,Московская область,Россия,,175000.0,
BizDev специалист (Специалист по развитию бизнеса),zGroup-IT,"['Business Development', 'business', 'UGC', 'понимание']",1,Московская область,Россия,,,
Системный Аналитик - B2B IT InsurTech,«Zunami»,"['методологии', 'Методологии разработки']",1,Московская область,Россия,,,
Руководитель направления (IT бизнес-аналитик),АО Корпорация развития Дальнего Востока и Арктики,['бизнес'],3,Московская область,Россия,,,
Менеджер IT проектов (Битрикс24),СберМаркетинг,"['знание', 'CRM', 'Битрикс', 'методологии', 'понимание']",3,Московская область,Россия,,,
Менеджер по продажам (IT Агро),ООО Геомирагро,,1,Московская область,Россия,,100000.0,
Бизнес-аналитик (IT/строительство),Группа компаний Экзон,"['BPMN', 'понимание', 'BPMN 2.0', 'UML']",1,Московская область,Россия,,160000.0,
Специалист сметно-договорного отдела,VOKS-IT,"['знание', 'документации', 'технологии']",1,Московская область,Россия,,100000.0,
"IT-специалисть по работе с 1С, Честный знак, Маркетплейсы",ООО Глобал Опт,"['1С', 'знание']",1,Московская область,Россия,,,
IT Директор (Fashion Retail),Marc O'Polo RUS,"['Розница', '1С', 'автоматизация']",6,Московская область,Россия,,,
Администратор проектов IT (офис),ООО ИЦ АЙ-ТЕКО,['документации'],1,Московская область,Россия,,,
IT-рекрутер,"Hi, Rockits!",['понимание'],1,Московская область,Россия,,80000.0,
Выездной инженер технической поддержки в IT-компанию,ООО Линасофт,"['склад', 'Ответственность']",1,Московская область,Россия,,150000.0,
Директор по информационным технологиям (CIO),АО Банк ДОМ.РФ IT,['понимание'],6,Московская область,Россия,,,
Менеджер проектов it (middle),ООО ЭИР Продакшн,"['Waterfall', 'ДО', 'Scrum', 'Agile']",1,Московская область,Россия,,,
Аккаунт-Менеджер / Account Manager - IT,House of Apps,['Management'],3,Московская область,Россия,,,
IT-специалист,ООО ОРГАНОН,"['знание', 'TCP/IP', 'ЭДО', 'ЭЦП', 'TCP', 'ip']",1,Московская область,Россия,,,
Системный администратор / сетевой администратор / IT-специалист,QSpace,,1,Московская область,Россия,,,
Ведущий менеджер по продажам (IT направление),ООО AUXO (Атос АйТи Солюшенс энд Сервисез),"['знание', 'сервисы']",1,Московская область,Россия,,,
Менеджер по продажам SaaS B2B IT,Room sharing,['b2b'],1,Московская область,Россия,,,
"Кладовщик-водитель (ЭКБ, экспедирование по Москве и Московской области)",IT Electronics,['знание'],1,Московская область,Россия,,100000.0,
IT-сорсер,the_covert,"['search', 'LinkedIn', 'Telegram', 'boolean']",1,Московская область,Россия,,,
"Руководитель отдела продаж (РОП) Senior (B2B, IT / заказная разработка)",Энсайн (Nsign.ru),,6,Московская область,Россия,,,
Менеджер по продажам IT (Cloud),Retail Personal,[],3,Московская область,Россия,,175000.0,
IT специалист технической поддержки (офис) L1-L2,LEOMAX,"['Microsoft', 'office', 'Ответственность']",1,Московская область,Россия,,100000.0,
Специалист по привлечению клиентов (B2B),IT Electronics,"['Ответственность', 'Коммуникабельность']",1,Московская область,Россия,,100000.0,
Секретарь-референт,IT Electronics,['уверенное владение'],1,Московская область,Россия,,95000.0,
Оператор технической поддержки (IT),ФГБУ ЦКБ с поликлиникой УДП РФ,['знание'],0,Московская область,Россия,,,
Менеджер по продажам IT продукта,ООО Инсейлс Рус,,1,Московская область,Россия,,,
IT-Project Manager (Telco),Sifox,"['технологии', 'понимание', 'SIP']",3,Московская область,Россия,,,
Sales manager (IT-аутстаффинг),ООО Цифровые привычки,"['b2b', 'знание']",3,Московская область,Россия,,,
Менеджер по развитию бизнеса (IT-аутстаффинг),SkillStaff,,3,Московская область,Россия,,,
Руководитель направления отчетности (IT),АО ДСК АВТОБАН,"['lead', 'Data', 'tech', 'BI', 'ClickHouse', 'tech lead']",6,Московская область,Россия,,,
Системный администратор/IT специалист,ООО Техновикинг,,1,Московская область,Россия,,125000.0,
"Медиаменеджер / PR-менеджер (IT, кибербезопасность, инвестиции)",Rekrut AI,,1,Московская область,Россия,,,
Менеджер по продажам (IT),Группа компаний Экзон,,1,Московская область,Россия,,210000.0,
"Менеджер по продажам B2B, IT/SaaS (входящие лиды + закрытие триалов)",ООО Кортекс,,1,Московская область,Россия,,,
Brow-мастер / бровист / ламимейкер,It's beauty,,1,Московская область,Россия,,99000.0,
Помощник/ассистент руководителя IT направления,Юрченков Данил Александрович,,0,Московская область,Россия,,37500.0,
Менеджер по продажам IT решений ( СНГ ),Nexign (АО Нэксайн),"['знание', 'понимание', 'BSS']",3,Московская область,Россия,,,
IT Recruiter,Xello,,3,Московская область,Россия,,,
Маркетолог IT,ООО Геомакс Финанс,['понимание'],0,Московская область,Россия,,,
Руководитель направления IT аутсорсинг\аутстаффинг,ООО Профи Персонал,,1,Московская область,Россия,,175000.0,
Системный администратор (IT компания),БИФИТ,['Linux'],1,Московская область,Россия,,120000.0,
Разработчик ЦФТ (Трайб Core IT),ОТП Банк. IT,"['знание', 'Разработка', 'ЦФТ', 'архитектуры', 'банк', 'ЦФТ-Банк', 'АБС']",3,Московская область,Россия,,,
Руководитель IT проектов,Skillaz,,1,Московская область,Россия,,,
Руководитель IT-отдела (Head of IT),ООО Буханка,,3,Московская область,Россия,,,
IT Operations Lead,Островок.Ostrovok!Tech,['Телекоммуникации'],3,Московская область,Россия,,,
Ведущий инженер по разработке (ТБ),Сбер. IT,"['архитектуры', 'понимание']",1,Московская область,Россия,,,
Ведущий инженер по сопровождению,Сбер. IT,"['Linux', 'dropapp', 'СУБД', 'OpenShift', 'Администрирование', 'Kafka']",3,Московская область,Россия,,,
QA инженер,Сбер. IT,['понимание'],3,Московская область,Россия,,,
SMM / Контент-менеджер IT,ООО Геомакс Финанс,,0,Московская область,Россия,,,
IT Менеджер в гостиницу,Safmar Hotels,"['Microsoft', 'VMware', 'Поддержка', 'знание']",3,Московская область,Россия,,,
Ведущий аналитик IT-блок,ООО ТТК-Связь,['бизнес'],1,Московская область,Россия,,,
Ведущий специалист IT,ФГБУ ВНИИ Экология,"['знание', 'TCP/IP', 'настройка', 'TCP', 'ip', 'понимание']",3,Московская область,Россия,,,
IT Ops TeamLead,DatsTeam,['системного'],6,Московская область,Россия,,,
Бровист / ламимейкер / brow-мастер,It's beauty,,1,Московская область,Россия,,99000.0,
Бизнес-партнер по интеграции ИТ-проектов,T2. IT и Digital,"['Управление проектами', 'Информационные технологии', 'технологии', 'управление', 'бизнес']",3,Московская область,Россия,,,
Менеджер по продукту (инженерия и IT),LEGENDA,[],3,Московская область,Россия,,275000.0,
Руководитель сервиса и инженерной команды (IT),ООО Линукс Групп,,3,Московская область,Россия,,400000.0,
"Менеджер по продажам (IT, B2B, SMB)",ООО Доксинбокс,"['b2b', 'коммуникация']",1,Московская область,Россия,,,
"Менеджер по продажам (HR-услуги, IT, Digital)",Rekrut AI,['b2b'],1,Московская область,Россия,,,
Специалист по онбордингу и документообороту (IT),ООО ТОП КЕЙС,['данных'],1,Московская область,Россия,,,
IT Product Manager проект чат бот,Группа компаний МЕДСИ,"['Digital', 'product owner', 'project']",3,Московская область,Россия,,275000.0,
Junior Project manager/Помощник руководителя в IT,ООО ЭИР Продакшн,"['самостоятельность', 'Ответственность']",0,Московская область,Россия,,,
Администратор IT-проектов,ООО Севентек,[],1,Московская область,Россия,,,
SRE-инженер,Сбер. IT,"['Unix', 'Linux']",1,Московская область,Россия,,,
Преподаватель IT дисциплин/тренер-эксперт,IBS,,3,Московская область,Россия,,,
Менеджер по продажам IT-решений,ИП Петрик Сергей Николаевич,"['RetailCRM', 'CRM', 'бизнес', 'процессы', 'продажи', 'Битрикс24', 'AmoCRM', 'Бизнес-процессы']",1,Московская область,Россия,,162850.0,
Инженер по сопровождению,Сбер. IT,"['знание', 'REST', 'архитектуры', 'бизнес', 'понимание']",1,Московская область,Россия,,,
SMM менеджер (IT),Appfox,"['понимание', 'SMM']",1,Московская область,Россия,,,
Практикант IT CaseWriter (Практика по написанию IT-кейсов и заданий),Changellenge,"['бизнес', 'технологии']",0,Московская область,Россия,,,
